masc	fem	neutr	mascPl	femPl	neutrPl
-яин -яйка -яев -яева -яева -яева
-як -ячица -яга -яки -ячицы -яга
-як -ячица -яже -яки -ячицы -яже
-як -ячица -яче(в) -яки -ячицы -яче(ва)
-як -ячка -яга -яки -ячки -яги
-як -ячка -яже -яки -ячки -яже
-як -ячка -яче -яки -ячки -яче
-янин -янка -янже -яне -янки -янже
-янин -янка -янче(в) -яне -янки -янче(ва)
-янин -янка -ячев -яне -янки -ячева
-ян -янка -яжь -яне -янки -яжи
-ёнок -ёнка -ёня -ята -ята -ята
