name	pronouns	description
Pronombres normativos	el,eya	Se deve amintar ke pronombres ≠ djenero. Une puede ser no binarie y uzar los pronombres korespondyentes (u “opozados”) al djenero atajeado al nasimiento.
Neopronombres	eye,eyi	Mientres los otros pronombres son rekonosidos komo “gramatikalmente korektos”, los neopronombres son mas muevos y su intension es no emplikar ningun djenero para inkluir a personas no binarias en la diskusion. Que no esten en algun diksionario no los aze menos balidos o menos korektos!
Pronombres grafikos	eyx,ey@,ey_	Estos pronombres tienen una forma grafika que no koresponde direktamente a una pronunsiasion.
