name	pronouns	description
Tradiciaj pronomoj	li,ŝi	Memoru, ke pronomoj ne nepre indikas genron. Oni povas esti neduuma kaj samtempe uzi pronomojn, kiuj kongruas (aŭ ne kongruas) al la genro ĉenaske asignita.
Novaj pronomoj	ĝi,ri,ŝli	Ĉi tiuj pronomoj nur vere estas uzataj en Esperanto dum la lastaj kelkaj jardekoj.
