singular	plural	isHonorific
Mi pensas, ke {pronoun_subject} estas tre afabla.		FALSE
Mi demandis {pronoun_subject}n, ĉu mi povas prunti {pronoun_subject}an skribilon.		FALSE
{'pronoun_subject} diris, ke la libroj estas {pronoun_subject}aj.		FALSE
{'pronoun_subject} diris, ke {pronoun_subject} preferas mem fari tion.		FALSE
