name	pronouns	description
Нормативные местоимения	он,она	Некоторые небинарные используют местоимения «он» или «она», и важно упомянуть, что это никак не умаляет их идентичности, ведь местоимения не равны гендеру.
Местоимения, близкие к нормативным	оно,оно/этого,оно/её,оно/их,они,кое	Эти местоимения уже использовались в языке в том или ином виде; тем не менее, сейчас допускается их использование в качестве личных местоимений третьего лица.
Графические местоимения	он_а,он_,он*	В этих формах используются знаки-заместители. Они полезны в письменной речи, но их трудно или невозможно произнести (а также они могут быть проблемой для программ чтения с экрана). Нередко они используются в отношении людей, чьи гендер и местоимения неизвестны.
Неоместоимения	сие,оне,онь,оня,ня,зи,ксин,дей,хе,ъеъ,ыбб	В отличие от других местоимений, эти являются относительно новыми, не используются слишком широко, и их нет в словарях. Тем не менее, от этого они не становятся хуже!
Эстетические неоместоимения	чирк,аэр,вамп,арле,чаро,ворожь,муни,луни,астрин,люминум,ноктиум,глитч,фае,фавн,флорис,анемо,гидро,гео,пиро,гипно,фимио,архао
Анималистические неоместоимения	мур,фрр,мрр,мя,фели,вульпис,вульф,вуф,ла,щен,кроша,ква,совёнок,сов,чик,би,жжж,фырк
