singular	plural	isHonorific
思うに{base_pronoun}はめちゃくちゃ優しいですよ。		FALSE
私は{base_pronoun}に{base_pronoun}のペンを借りてもいいかと尋ねました。		FALSE
{base_pronoun}は家は{base_pronoun}のものと言いました。		FALSE
後で{base_pronoun}に教えてください。		FALSE
