key	description	normative	nominative	genitive	nonreflexive_verb_past	dative	accusative	instrumental	prepositional	instrumental_with_preposition	genitive_with_preposition	reflexive_verb_past	adjective	possessive	definitive	plural	pluralHonorific	pronounceable	history	thirdForm	smallForm	sourcesInfo
совеня,совеня/совеняти,совеня/совеняти/[-лух]	Неозайменник з совиною тематикою	FALSE	совеня	совеняти	лух	совеняті	совеня	совеням	совеня	совеням	совеня	лусь	ух	мух	самух	FALSE	FALSE	TRUE	Займенник совеня/совеняти був зроблен користувачею твіттера _moon_lesbian у 2021 році та були перекладені та адаптовані українською командою ua.pronouns.page.
сов,сов/сови,сов/сова/[-лух]	Неозайменник з совиною тематикою	FALSE	сов	сóви	лух	сóву	сóва	сóвом	сóва	сóвом	сóви	лусь	ух	мух	самух	FALSE	FALSE	TRUE
луни,луни/лун,луни/лун/[-лун]	Неозайменник з місячною тематикою	FALSE	луни	лун	лун	лум	лун	луми	лун	луни	лун	лунь	луни	мун	самун	FALSE	FALSE	TRUE	Займенник луни/лун був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
чаро,чаро/клят,чаро/клят/[-лор]	Неозайменник з магічною тематикою	FALSE	чаро	клят	лор	очаро	клят	очаро	клят	зачаро	заклят	клят	о	моро	само	FALSE	FALSE	TRUE	Займенник чаро/клят був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
ворож,ворож/враж,ворож/враж/[-лож]	Неозайменник з магічною тематикою	FALSE	ворож	вражь	вож	обворож	враж	заворож	враж	заворож	заворож	всож	аж	мош	самож	FALSE	FALSE	TRUE	Займенник ворож/враж був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
вульпис,вульпис/лис,вульпис/лис/[-лис]	Неозайменник з лисячою тематикою	FALSE	вульпис	лис	лис	вульпис	лис	вульпис	фукс	вульпис	лис	льсис	укс	мис	самис	FALSE	FALSE	TRUE	Займенник вульпис/лис був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
вульф,вульф/вульфа,вульф/вульфа/[-ольф]	Неозайменник з вовчою тематикою	FALSE	вульф	вульфа	лольф	вульфу	вульф	вульфом	вульфа	вульфом	вульфа	ульф	рар	мои	сами	FALSE	FALSE	TRUE	Займенник вульф/вульфа був зроблен користувачем твіттера villhelmaun у 2021 році та перекладені і адаптовані українською командою ua.pronouns.page.
бі,бі/бзз,бі/бзз/[-лі]	Неозайменник, співзвучний дзижчанню	FALSE	бі	бзз	лі	бі	бзз	бі	бі	бі	бзз	бззз	вжжж	міз	саміз	FALSE	FALSE	TRUE	Займенник бі/бзз був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
жжж,жжж/бзз,жжж/бзз/[-жжж]	Неозайменник, співзвучний дзижчанню	FALSE	жжж	бзз	жжж	жжж	бзз	жжж	жжж	жжж	бзз	бззз	вжжж	міз	саміз	FALSE	FALSE	TRUE	Займенник жжж/бзз був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
фирк,фирк/фир,фирк/фир/[-лурк]	Неозайменник, співзвучний фирчанню; з їжаковою тематикою	FALSE	фирк	фир	лурк	фурк	фир	фур	фирка	фур	фир	всюфь	урь	моюрк	своюрк	FALSE	FALSE	TRUE
ня,ня/нях,ня/нях/[-ля]	Неозайменник	FALSE	ня	нях	ля	ям	нях	ями	нях	ями	нях	лясь&лся	яя&ая&ая	моя	самя	FALSE	FALSE	TRUE
гідро,гідро/гідро,гідро/гідро/[-ло]	Неозайменник зі стихійною тематикою води	FALSE	гідро	гідро	ло	гідро	гідро	гідро	гідро	гідро	гідро	лося	е	моє	само	FALSE	FALSE	TRUE	Займенник гідро/[-ло] був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
анемо,анемо/анемо,анемо/анемо/[-ло]	Неозайменник зі стихійною тематикою повітря	FALSE	анемо	анемо	ло	анемо	анемо	анемо	анемо	анемо	анемо	лося	е	моє	само	FALSE	FALSE	TRUE	Займенник анемо/[-ло]  був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
піро,піро/піро,піро/піро/[-ло]	Неозайменник зі стихійною тематикою вогню	FALSE	піро	піро	ло	піро	піро	піро	піро	піро	піро	лося	е	моє	само	FALSE	FALSE	TRUE	Займенник піро/[-ло]  був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
гео,гео/гео,гео/гео/[-ло]	Неозайменник зі стихійною тематикою землі	FALSE	гео	гео	ло	гео	гео	гео	гео	гео	гео	лося	е	моє	само	FALSE	FALSE	TRUE	Займенник гео/[-ло]  був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
гіпно,гіпно/гіпно,гіпно/гіпно/[-ло]	Неозайменник з тематикою сну	FALSE	гіпно	гіпно	ло	гіпно	гіпно	гіпно	гіпно	гіпно	гіпно	лося	е	моє	само	FALSE	FALSE	TRUE	Займенник гіпно/[-ло]  був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
архао,архао/хтоно,архао/хтоно/[-ло]	Неозайменник з тематикою хаосу та архаїки	FALSE	архао	хтоно	ло	архаос	хтоно	хтонос	хаос	хтонос	хтонос	лося	е	моє	само	FALSE	FALSE	TRUE	Займенник архао/хтоно  був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
фіміо,фіміо/фіміо,фіміо/фіміо/[-ло]	Неозайменник з тематикою туману та диму	FALSE	фіміо	фіміо	ло	фіміо	фіміо	фіміо	фіміо	фіміо	фіміо	лося	е	моє	само	FALSE	FALSE	TRUE	Займенник фіміо/[-ло]  був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
фае,фае/фер,фае/фер/[-е]	Неозайменник	FALSE	фае	фер	ле	фер	фер	фер	фер	фер	фер	леся	ер	мер	саме	FALSE	FALSE	TRUE	Займенник фае/фер був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
фавн,фавн/фін,фавн/фін/[-вен]	Неозайменник	FALSE	фавн	фін	вен	фін	фін	фін	фін	фін	фін	лсен	ен	мін	самен	FALSE	FALSE	TRUE	Займенник фавн/фін був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
флорис,флорис/фльор,флорис/фльор/[-лис]	Неозайменник	FALSE	флорис	фльор	лис	фльор	фльор	фльор	фльор	фльор	фльор	льсис	ен	мер	самен	FALSE	FALSE	TRUE	Займенник флорис/фльор  був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
люмінум,люмінум/міно,люмінум/міно/[-лум]	Неозайменник з тематикою сонця та світла	FALSE	люмінум	міно	лум	люм	міно	люм	люм	люм	міно	лсум	іміно	моні	саміо	FALSE	FALSE	TRUE	Займенник люмінум/міно  був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
ноктіум,ноктіум/тіо,ноктіум/тіо/[-лум]	Неозайменник з тематикою ночі та темряви	FALSE	ноктіум	тіо	лум	нокті	тіо	нокті	нокті	нокті	тіо	лсум	ітіо	моні	саміо	FALSE	FALSE	TRUE	Займенник ноктіум/тіо  був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
глітч,глітч/гліф/404,глітч/гліф/404/[-літч]	Глітчкорний неозайменник	FALSE	глітч	гліф	літч	404-й	гліф	404-мя	404-го	404-мя	гліф	лсітч	іф	мліф	самітч	FALSE	FALSE	TRUE	Займенник глітч/гліф був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
аер,аер/теріо,аер/теріо/[-лер]	Неозайменник	FALSE	аер	теріо	лер	ейр	ейр	эйр	теріо	теріо	ейр	всіо	ріо	меро	самер	FALSE	FALSE	TRUE	Займенник аер/теріо  був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
арле,арле/кін,арле/кін/[-рле]	Неозайменник	FALSE	арле	кін	рле	шапи	кін	то	шапи	шапи	кін	рлесь	ін	мін	самін	FALSE	FALSE	TRUE	Займенник арле/кін  був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
астрін,астрін/астер,астрін/астер/[-лін]	Неозайменник з тематикою зірок	FALSE	астрін	астер	лін	стар	астер	стар	стар	астер	астер	всін	ер	мін	самін	FALSE	FALSE	TRUE	Займенник астрин/астер  був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
