singular	plural	isHonorific
{'nominative} zou er nu ongeveer moeten zijn.		FALSE
Ik vind {accusative} er mooi uitzien.		FALSE
Jij zei {dative} dat {pronominal_poss} veter los zat.		FALSE
Dat deel is het {predicative_poss}.		FALSE
