singular	plural	isHonorific
{2nd_person} ơi, hôm nay {2nd_person} khỏe chứ?		FALSE
Tôi thấy {3rd_person} thật tốt tính.		FALSE
Tôi đã hỏi {3rd_person} cho tôi mượn cái bút chì của {3rd_person}.		FALSE
{3rd_person} nói rằng {3rd_person} muốn làm cái này.		FALSE
