name	pronouns	description
Normativa former	han,hon,hen,hen/hen	Det är värt att nämna att pronomen ≠ kön. En person kan fortfarande vara ickebinär fastän deras pronomen överensstämmer med (eller motsatsen till) det kön de har blivit tilldelad vid födseln.
Semi-normativa former	de,den,det	Dessa pronomen har använts regelbundet i normativ Svenska redan, men på senaste har använts på ett litet annorlunda sätt: att beskriva en singular, specifik person.
Neopronomen	""	Jämfört med andra pronomen, vilket har alltid varit officiellt erkänd som “grammatiskt korrekt”, neopronomen är något helt nytt. Men, de har allt mer blivit populära och har fått mer officiellt erkännande.
