singular	plural	isHonorific
Jag tycker att {pronoun_nominative} är väldigt snäll.		FALSE
Jag frågade {pronoun_object} om jag fick låna {possessive} penna.		FALSE
{'pronoun_nominative} sa att huset är {possessive}.		FALSE
{'pronoun_nominative} sa att {pronoun_nominative} hellre ville göra det själv.		FALSE
