name	pronouns	description
Conjuntos normativos	ela,ele	É muito importante ressaltar que conjuntos de linguagem não definem identidades de gênero. Uma pessoa não-binária pode usar os conjuntos normativos por quaisquer razões, assim como qualquer pessoa de qualquer identidade pode usar o conjunto que quiser.
Conjuntos alternativos	elu,ilu,ile,el,ili,ily,éli,elé,ilo,êlu,yn,ale,ael,elae,eld	Uma parte das pessoas não-binárias não se sente confortável com os conjuntos normativos, e, por isso, há criação de conjuntos alternativos com os quais elas possam se sentir confortáveis. Não existe um conjunto "mais correto", todos têm que ser respeitados.
Conjuntos gráficos	elx,el*,el@,el_,el'	São os conjuntos só para usar em forma escrita, pois não são pronunciáveis ou podem ter mais de uma pronúncia não evidente. Eles podem não ser reconhecidos por certos leitores da tela e talvez dificultar a leitura de pessoas disléxicas.
