name	count
ANNA	1075653
KATARZYNA	605826
MARIA	594197
MAŁGORZATA	579481
AGNIESZKA	548636
BARBARA	485438
EWA	478990
MAGDALENA	434693
ELŻBIETA	420102
KRYSTYNA	413847
JOANNA	404892
ALEKSANDRA	389099
MONIKA	378440
ZOFIA	373092
TERESA	335287
NATALIA	314773
JULIA	303234
DANUTA	301751
KAROLINA	293737
MARTA	289815
BEATA	280756
DOROTA	269186
ALICJA	251102
HALINA	243336
JADWIGA	238547
JOLANTA	238489
IWONA	233227
GRAŻYNA	230489
JANINA	226676
PAULINA	223901
ZUZANNA	219547
JUSTYNA	216865
IRENA	215927
HANNA	215797
WIKTORIA	203468
BOŻENA	200589
RENATA	188669
URSZULA	186308
AGATA	183638
SYLWIA	182687
MAJA	175030
PATRYCJA	169306
HELENA	167835
IZABELA	159380
EMILIA	159330
OLIWIA	156058
ANETA	151841
WERONIKA	150995
EWELINA	148260
MARTYNA	141765
KLAUDIA	138643
GABRIELA	133051
MARZENA	129686
LENA	126549
DOMINIKA	122527
MARIANNA	121290
AMELIA	121159
KINGA	120526
STANISŁAWA	115374
EDYTA	114204
KAMILA	111005
WIESŁAWA	106801
ALINA	102163
WANDA	95630
DARIA	85550
LIDIA	83109
MARIOLA	82314
LUCYNA	80942
TETIANA	78904
NIKOLA	76728
MILENA	75382
NATALIIA	74219
OLENA	73080
WIOLETTA	72654
MIROSŁAWA	70835
IRYNA	69432
LAURA	68705
ANTONINA	66429
ANGELIKA	64922
OLGA	60922
KAZIMIERA	57167
OLHA	56090
BOGUMIŁA	55562
OKSANA	54962
ILONA	54790
MICHALINA	54383
SANDRA	54149
GENOWEFA	52195
MARIIA	52027
SVITLANA	51653
NADIA	51425
YULIIA	49583
ANASTASIIA	49489
KORNELIA	49171
MARLENA	48490
VIKTORIIA	48155
HENRYKA	47936
ŁUCJA	47856
SABINA	47632
BOGUSŁAWA	47555
NINA	45929
JÓZEFA	45912
ANITA	45828
STEFANIA	45054
IGA	44739
LILIANA	44645
REGINA	43728
POLA	43463
MARCELINA	43323
KATERYNA	42608
JAGODA	41556
CZESŁAWA	39629
ANIELA	39292
WŁADYSŁAWA	38678
KARINA	36638
LIUDMYLA	36504
WIOLETA	34421
ADRIANNA	33689
DIANA	32586
ROKSANA	31975
