name	count
CAROLINE	364
ŻAKLINA	364
BOGDANA	361
CATHERINE	361
CHARLOTTE	361
DOBRAWA	348
CAROLINA	345
LIZA	343
SABRINA	338
ARLETTA	338
KATHARINA	338
DELFINA	337
SYBILLA	332
FATIMA	329
OKSANA	325
EUFEMIA	320
DAJANA	319
PRAKSEDA	318
IRENE	315
ALA	312
ABIGAIL	311
MARGARETA	309
IWONNA	308
JOHANNA	308
ALICIA	306
INGRID	305
LARA	305
JENNIFER	303
EMA	301
ROSA	297
WINCENTYNA	296
HELEN	295
LUCIA	293
FRYDERYKA	288
ZOJA	286
RADOSŁAWA	286
DALIA	286
ERNESTYNA	284
MONICA	283
DŻESIKA	283
ANASTASIA	281
EDELTRAUDA	281
SCHOLASTYKA	281
ELA	277
ROBERTA	275
WILHELMINA	274
LUBOMIRA	269
KRISTINA	268
NIKOL	268
KASANDRA	266
KAROLA	263
WALESKA	263
MARTINA	262
DOBROCHNA	261
AUGUSTA	261
IRMGARDA	260
EMILA	259
NICOL	259
MICHAELA	258
LUKRECJA	258
LILY	257
KAUR	257
ISABELLE	255
JOSEPHINE	254
NAOMI	250
IDALIA	248
LESŁAWA	247
JOY	246
BEATRIZ	246
ADAMINA	245
KARIN	243
MARTHA	242
SIMONA	241
NUR	240
ALEJANDRA	238
BENIGNA	236
ELLA	236
DOBROMIŁA	235
DOLORES	235
BENITA	234
MARITA	234
ZOE	232
LYNN	231
FRANCESCA	231
RACHEL	231
MARGOT	229
MODESTA	229
SZARLOTA	228
MAJKA	224
KSAWERA	224
SERAFINA	224
LUISA	223
KATHERINE	220
EUNIKA	219
IZYDORA	217
STEPHANIE	216
LISA	216
LUNA	216
MIŁOSŁAWA	215
HALSZKA	213
PAOLA	211
MARINA	209
REBEKA	206
ZBIGNIEWA	206
CLAIRE	206
GABRIELLA	206
ANIKA	205
MIRANDA	204
ANA	202
LUDWINA	202
LEE	202
JOLENTA	200
ELZA	200
HERMINA	200
LEONA	199
JULITTA	197
MARGARITA	197
LUDOMIRA	195
ELZBIETA	195
IZOLDA	194
LEONORA	194
CYRYLA	193
VIOLETA	192
LIVIA	191
RUT	189
ALBERTYNA	189
FILIPINA	188
INKA	187
VALENTINA	187
SYLVIA	186
KSYMENA	185
DAGNA	184
ŻANETTA	184
HANNAH	183
DEBORA	182
ESTHER	181
ARIADNA	180
THERESA	179
JASMIN	179
RACHELA	179
BIBIANNA	178
BOGDA	178
MAY	177
KONSTANTYNA	177
CLARA	175
MELISA	173
RYTA	173
KATE	171
CECILIA	170
URSULA	170
ELISA	170
JACQUELINE	168
JANA	168
PIA	167
INGEBORGA	167
RAFAELA	167
DENISE	166
JASMINA	164
ARIANA	163
ANGELICA	161
MILA	161
DORIS	159
JEAN	159
FRANCES	157
MAE	156
DĄBRÓWKA	155
KAREN	154
ANH	154
LETYCJA	154
JUDITH	154
ANIDA	154
EDITH	153
MALGORZATA	152
AIDA	151
SELENA	149
ALOJZA	149
HELENE	149
ROXANA	148
JULIANA	148
ESTER	147
SOFIE	145
KARMEN	145
OTOLIA	145
PRZEMYSŁAWA	145
BIANCA	144
MARIETA	143
LILLY	143
ASTRID	143
WINCENTA	142
LUCY	142
WIERA	141
EDMUNDA	141
SAMANTHA	141
ORIANA	140
THERESE	139
ANICETA	139
BELLA	137
FLORA	137
TOLA	136
MARIA TERESA	136
HANA	136
KRYSTIANA	134
BEATRYCZE	134
NATHALIE	133
LORA	133
AURELA	131
JESICA	131
HIERONIMA	131
MELISSA	131
AFRODYTA	131
NIKOLETTA	130
ANDŻELINA	129
LAURENCJA	129
MARGARETE	128
ANDRZELIKA	126
JESIKA	125
KLEOPATRA	124
LILI	124
KIRA	123
KRYSPINA	122
MELANIE	121
REBECCA	121
RAQUEL	121
KORDULA	121
EVE	121
NELLY	121
LORENA	120
FABIOLA	120
HEDWIG	120
YVONNE	119
ELLEN	119
SUSAN	118
WŁODZIMIERA	117
WERA	117
JASMINE	117
CHLOE	117
LUCJANNA	117
STELA	116
JULIE	116
ALMA	116
FELICYTA	116
AMY	116
LUCJANA	114
ROZWITA	114
ARKADIA	114
OLENA	114
FERNANDA	114
ŚWIĘTOSŁAWA	113
WALBURGA	112
PAULINE	112
RENEE	112
AMBER	112
HERTA	111
IRIS	111
KONRADA	111
VIRGINIA	110
JOLA	110
LAILA	110
SUSANA	110
SIMONE	110
IWETTA	110
CARLA	110
ISMENA	109
SUZANNE	109
ATENA	109
SILVIA	108
PETRA	108
ANNA MARIA	108
DORA	108
HILDA	107
YAEL	107
CHIARA	106
INGRIDA	106
ASHLEY	106
LUBA	106
ERWINA	106
ZOSIA	105
SATURNINA	105
DIONIZA	105
DAMIANA	105
GUSTAWA	105
ANIA	104
ELISE	103
LINH	103
IWONKA	103
SOL	102
LEILA	102
GABRIELLE	102
BERNADETTE	102
ALOJZJA	102
ADELINA	101
ELENI	101
ŻAKLIN	101
CORNELIA	100
CHANTAL	100
KLOTYLDA	99
JESSIKA	99
RAISA	99
BRIGITTE	99
FRIDA	98
DANIELLE	97
VIVIEN	97
WISŁAWA	96
NATASHA	96
MARION	96
GERARDA	96
DOROTHY	95
TINA	95
MAI	95
AVA	95
LUISE	95
KIM	95
MARIA MAGDALENA	94
NASTAZJA	94
HOPE	93
VALERIA	93
KATHLEEN	93
PALOMA	93
KAMILIA	93
MARIANNE	91
ADOLFINA	91
NELL	91
EMILIE	91
LEOPOLDA	91
EVELYN	90
MARIAM	90
MAKSYMILIANA	90
BETINA	90
JEANNE	88
SUSANNE	88
EUFROZYNA	87
LEAH	87
ILZA	87
IWETA	86
KATARINA	86
SAMIRA	85
DINA	85
INA	85
VIVIANA	85
GRAZYNA	84
NADINE	84
IWA	84
STEFANIE	84
KASIA	84
IRMGARD	84
SCARLETT	84
SYLWANA	84
MEGAN	84
MARÍA	84
CHELSEA	83
EUZEBIA	83
GEORGINA	83
MOHAMED	83
FLORIANNA	82
LYDIA	82
KAMA	82
BEATRICE	82
DOROTHEA	82
MADELEINE	81
KATRIN	81
GRACIELA	81
HILDEGARD	80
VIKTORIIA	80
VANESA	80
MAURA	80
NIKOLETA	79
ELIANA	79
MARIANA	79
MARGOTA	79
LAYLA	79
MIRONA	79
NELLA	78
KLARYSA	78
TADEUSZA	78
LUDOMIŁA	78
RAE	77
FRIEDA	77
SYLWINA	77
FLORENCE	77
LEIGH	77
DIANE	77
JADE	77
FRANZISKA	76
RENA	76
CYNTIA	75
FRYDA	75
ARLENA	75
RENATE	75
-	75
LAN	74
SOLEDAD	74
LOUISA	74
HORTENSJA	74
WIEŃCZYSŁAWA	73
FIONA	73
BEATE	73
HENRIETA	73
MATILDA	73
ADOLFA	73
LORETTA	72
STANISLAWA	72
BELEN	72
JOANNE	72
WALTRAUDA	72
CAMILLE	72
TELIMENA	72
ROMINA	72
MARYNA	72
LIA	71
KIARA	71
BERNADYNA	70
MONIQUE	70
AMIRA	70
KESJA	70
JOAN	70
VIVIENNE	70
DEBORAH	70
INEZA	70
LUBOMIŁA	70
NORA	69
SUSANNA	69
JULIETTA	69
