name	count
PIOTR	692120
KRZYSZTOF	645674
ANDRZEJ	542386
TOMASZ	538080
PAWEŁ	507624
MICHAŁ	491591
JAN	485100
MARCIN	450609
JAKUB	422395
ADAM	401718
ŁUKASZ	384143
MAREK	382201
GRZEGORZ	377006
MATEUSZ	376449
STANISŁAW	374852
WOJCIECH	334615
MARIUSZ	288344
DARIUSZ	285899
MACIEJ	267785
ZBIGNIEW	267089
RAFAŁ	262387
ROBERT	260217
KAMIL	250833
JERZY	244093
DAWID	237545
SZYMON	237378
JACEK	233021
KACPER	225320
JÓZEF	213147
RYSZARD	206903
TADEUSZ	205066
BARTOSZ	203309
ARTUR	195807
JAROSŁAW	191972
SŁAWOMIR	186178
SEBASTIAN	185795
JANUSZ	184096
DAMIAN	183970
MIROSŁAW	181867
PATRYK	179690
ROMAN	174439
DANIEL	169087
FILIP	166708
HENRYK	166333
ANTONI	166194
PRZEMYSŁAW	165995
KAROL	165645
ALEKSANDER	149838
ADRIAN	148515
KAZIMIERZ	148424
WIESŁAW	140276
MARIAN	133889
ARKADIUSZ	133846
DOMINIK	133840
FRANCISZEK	133394
MIKOŁAJ	131330
BARTŁOMIEJ	125366
LESZEK	114719
WIKTOR	112896
KRYSTIAN	111360
WALDEMAR	108031
OLEKSANDR	104507
RADOSŁAW	103891
BOGDAN	96695
ZDZISŁAW	95955
KONRAD	90692
IGOR	90065
HUBERT	88427
EDWARD	82405
MIECZYSŁAW	78995
OSKAR	75372
MARCEL	74951
WŁADYSŁAW	74287
CZESŁAW	68233
MAKSYMILIAN	67357
SERHII	64060
ANDRII	63354
EUGENIUSZ	63219
MIŁOSZ	63213
BOGUSŁAW	60335
IRENEUSZ	60003
NIKODEM	58465
VOLODYMYR	57525
STEFAN	57347
WITOLD	55895
LEON	54651
OLIWIER	54528
SYLWESTER	54066
ZYGMUNT	53181
DMYTRO	51730
ALAN	50635
IVAN	48060
WŁODZIMIERZ	47363
CEZARY	46133
ZENON	43283
MAKSYM	43171
GABRIEL	41348
IGNACY	40964
JULIAN	40100
NORBERT	39704
MYKOLA	38113
TYMON	36277
TYMOTEUSZ	36028
VITALII	34543
FABIAN	34134
YURII	32988
BŁAŻEJ	32894
IHOR	32869
VASYL	32014
MYKHAILO	31723
VLADYSLAV	30497
ARTEM	29783
OLEH	29506
ERYK	29256
EMIL	28665
VIKTOR	26399
BOHDAN	24896
LECH	23738
BRONISŁAW	22744
WACŁAW	22662
OLEKSII	22561
NATAN	21987
KSAWERY	21149
DENYS	20652
BORYS	19846
BOLESŁAW	19462
RUSLAN	19078
REMIGIUSZ	18770
OLAF	18715
BERNARD	17977
KAJETAN	17526
YAROSLAV	17224
PAVLO	17018
KUBA	16113
EDMUND	15807
VADYM	15319
LUCJAN	15002
BRUNO	14893
ALBERT	14725
ANATOLII	14700
TOBIASZ	14664
ALIAKSANDR	14438
ROMUALD	14192
GRACJAN	14154
SEWERYN	13779
SZCZEPAN	13223
YEVHEN	13094
DAVID	12674
ANDREI	12449
ANTON	12382
PETRO	12161
ILLIA	12140
ALEXANDER	12101
KORNEL	11901
OLIVIER	11830
YEVHENII	11575
ALFRED	11501
ERNEST	11269
NAZAR	11264
JOACHIM	11176
VALERII	10874
LUDWIK	10805
STANISLAV	10551
LESŁAW	10486
ALEX	10443
BOGUMIŁ	10335
SIARHEI	10164
JĘDRZEJ	10108
TARAS	10023
GERARD	9911
DANYLO	9796
FELIKS	9610
DZMITRY	9549
MARK	9032
KOSTIANTYN	9015
LEONARD	8998
VIACHESLAV	8902
JULIUSZ	8648
DENIS	8277
ALEKS	8151
KLAUDIUSZ	7739
OLIVER	7730
DORIAN	7729
TEODOR	7646
NIKITA	7489
ALOJZY	7453
KYRYLO	7239
MARTIN	7235
NATANIEL	7113
MILAN	6962
MYKYTA	6899
OLEG	6865
DANIIL	6814
MICHAEL	6792
YEHOR	6775
MATVII	6629
GUSTAW	6612
KONSTANTY	6609
CYPRIAN	6469
BENEDYKT	6439
PAVEL	6410
STEPAN	6385
VALENTYN	6369
MIESZKO	6360
SAMUEL	6255
MAKSIM	6204
RAJMUND	6174
BRAJAN	5950
ALIAKSEI	5655
SERGII	5565
FLORIAN	5403
TYMOFII	5377
EDUARD	5212
KEVIN	5198
RUDOLF	5169
DAVYD	5108
ROSTYSLAV	5092
IWO	5037
MARCELI	4979
HIERONIM	4800
ARIEL	4681
GIORGI	4629
BENIAMIN	4611
KORDIAN	4610
FRYDERYK	4586
WINCENTY	4566
LEONID	4519
ERWIN	4459
JEREMI	4444
ALEKSY	4436
YAUHENI	4386
ANDRIY	4346
NAZARII	4300
ZYGFRYD	4249
VICTOR	4217
MAXIMILIAN	4135
ROLAND	4131
YURY	4089
